,video_id,channelTitle,course,video_type,episode_title,episode_num,episode_title_len,tag_Count,publishedDate,publishedTime,days_published_for,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,with_Arizona
1374,2D7hZpIYlCA,CrashCourse,Ecology,regular course,The Hydrologic and Carbon Cycles Always Recycle! -,8.0,51,41.0,2012-12-24,22:04:54,3835,1302570.0,11452.0,,935.0,604.0,hd,True,False
1375,cn0WZ8-0Z1Y,CrashCourse,English Literature,regular course,Was Gatsby Great? The Great Gatsby Part 2,5.0,42,25.0,2012-12-20,22:40:16,3839,1976291.0,32646.0,,2925.0,530.0,hd,True,False
1376,v6ubvEJ3KGM,CrashCourse,Ecology,regular course,Ecosystem Ecology Links in the Chain -,7.0,39,34.0,2012-12-18,19:14:54,3841,1372442.0,11771.0,,733.0,610.0,hd,True,False
1377,xw9Au9OoN88,CrashCourse,English Literature,regular course,Like Pale Gold - The Great Gatsby Part 1,4.0,41,36.0,2012-12-13,23:47:24,3846,3290194.0,53832.0,,3226.0,703.0,hd,True,False
1378,jZKIHe2LDP8,CrashCourse,Ecology,regular course,Ecological Succession Change is Good -,6.0,39,39.0,2012-12-11,01:39:13,3848,1028357.0,9824.0,,664.0,602.0,hd,True,False
1379,9J4hoAatGRQ,CrashCourse,English Literature,regular course,Love or Lust? Romeo and Juliet Part 2,3.0,38,24.0,2012-12-06,20:20:29,3853,1302485.0,21715.0,,2932.0,611.0,hd,True,False
1380,mFDiiSqGB7M,CrashCourse,Ecology,regular course,Community Ecology II Predators -,5.0,33,43.0,2012-12-04,21:11:50,3855,552959.0,5654.0,,415.0,623.0,hd,True,False
1381,I4kz-C7GryY,CrashCourse,English Literature,regular course,Of Pentameter & Bear Baiting - Romeo & Juliet Part 1,2.0,53,27.0,2012-11-29,22:30:40,3860,2024140.0,29328.0,,3700.0,762.0,hd,True,False
1382,GxE1SSqbSn4,CrashCourse,Ecology,regular course,Community Ecology Feel the Love -,4.0,34,40.0,2012-11-26,22:33:57,3863,962345.0,9334.0,,637.0,690.0,hd,True,False
1383,i6ECGNPYkWk,CrashCourse,outtakes,outtakes,World History Outtakes Part II,,30,7.0,2012-11-22,19:13:57,3867,331014.0,6610.0,,776.0,254.0,hd,True,False
